supplier_id,company_name,contact_name,email,phone,address,city,state,country,industry,rating,contract_start_date
44,Hopkins and Sons,Nichole Alvarado,cmyers@herrera.com,6616707203,18629 Jonathan Causeway Suite 177,Carterland,OR,Namibia,Wholesale,4.1,2022-02-24
45,James-Compton,Sara Martinez,gutierrezchloe@morgan.com,266.997.4424,00795 Scott Neck Suite 282,Jenkinsborough,AR,Argentina,Manufacturing,3.7,2023-12-19
46,"Macias, Fowler and Roberts",Alyssa Harris,garciarichard@glover.com,+1-471-556-9909x0403,94321 Bridges Trail Suite 090,New Christopherberg,PW,Greenland,Packaging,4.7,2022-04-30
47,Foster Group,Glen Baker,rileyphillips@booth.net,001-296-658-0779x905,544 Caleb Burg,Tiffanyborough,NM,Guatemala,Packaging,4.4,2022-02-08
48,Brown PLC,Linda Dougherty,hernandezeric@romero-duncan.biz,426-276-9295x446,7377 Kathryn Trail,Port Aaron,MO,Saint Barthelemy,Technology,4.5,2023-11-27
49,Todd LLC,Kenneth Howard,duane23@flores.com,001-643-710-9999x06956,328 Green Extension,Townsendbury,MO,Guatemala,Packaging,2.3,2023-04-05
50,"Chen, Silva and Parker",Aaron Bond,bhenry@rose-choi.biz,575-920-4907x5021,7506 Burnett Brooks Apt. 907,New Michaelburgh,MN,Antigua and Barbuda,Textiles,3.2,2021-04-15
51,Flores-Rangel,John Buck,dominguezvalerie@brown.com,234-288-8613x7312,39238 Michelle Trace Apt. 226,New Michael,VT,Sweden,Manufacturing,3.7,2022-05-16
52,"Griffin, Lewis and Gardner",Brian Gross,ecarroll@wood.com,001-774-472-2923,095 Williams Curve Apt. 099,Alejandrotown,AR,Bermuda,Wholesale,4.6,2022-01-10
53,Martinez Group,John Mason,harrisvanessa@alvarado.info,250-511-1719x500,2693 Molly Grove Apt. 073,New Joyce,AL,United States Virgin Islands,Technology,3.4,2024-09-27
54,Bell-Garcia,Barbara Robertson,russell31@hurst-olson.com,765.791.3314x258,677 Cameron Route,Jasminemouth,WY,Myanmar,Chemicals,1.6,2025-02-19
55,Schneider Group,Manuel Smith,moodygary@morales.com,4654316053,27761 Jones Route Suite 783,Scottmouth,NH,Guernsey,Technology,1.2,2025-09-13
56,Miller PLC,Jeremy Sanders,mrandolph@coleman-morgan.com,6459015261,306 Smith Burgs,South Michelle,NJ,India,Import/Export,4.0,2021-02-28
57,Thomas Ltd,Randall Diaz,williamthomas@ward-simpson.biz,823-540-2655x281,1064 Jonathan Rapid,South Tylerborough,FL,New Caledonia,Wholesale,1.2,2025-04-22
58,Frey-Smith,Jane Hernandez,laura47@dawson.com,+1-632-240-9973x770,712 Alexander Lock Suite 355,Sarahmouth,MS,Korea,Technology,1.5,2022-05-05
59,Conner-Gonzales,Alicia Pacheco,pamelaobrien@alvarez-page.com,951.435.9305x652,17986 Young Square,Lake Heatherfort,UT,Syrian Arab Republic,Distribution,2.3,2022-03-02
60,"Miles, Nielsen and Long",Steven Miller,emilyritter@martinez.com,001-293-659-9568x542,18985 Marie Path,Matthewmouth,SC,Korea,Packaging,1.5,2021-12-14
61,"Mitchell, Rogers and Hardin",Susan Doyle,william00@walsh-lester.com,001-554-646-3536x1484,34695 Jenkins Well,Hensleymouth,MP,Antarctica (the territory South of 60 deg S),Raw Materials,4.4,2022-03-04
62,Perkins-Hamilton,Melissa Johnson,travis70@bird.com,421-827-4929x43936,59655 Lee Lock Suite 835,New Kimberlyport,SD,Swaziland,Distribution,3.3,2025-05-20
63,Jordan-Liu,Sandra Hanson,alicia92@rogers-woods.biz,483.994.8382,3079 Laura Spurs,Port Denise,FL,Qatar,Textiles,2.2,2023-10-26
64,Larson PLC,Dr. Joyce Escobar,karlcombs@dominguez.com,386.495.3654x747,66657 Marquez Meadow,Kellerbury,AS,Madagascar,Technology,1.3,2025-02-17
65,Berger-Lamb,Jerome Rodgers,wsmith@campbell.info,500-506-5911x2401,66176 Kathryn Mission,East Pamela,OK,Turkey,Agriculture,3.5,2025-11-03
66,Wilcox and Sons,Jonathan Blair,george78@hoffman-alvarez.net,(642)902-4070,5855 Smith Islands,Ellisberg,PW,Rwanda,Chemicals,2.7,2025-06-08
67,"Estrada, Richardson and Shah",Karen Bates,costaandrew@hendrix.org,001-232-725-8394,029 Richmond Turnpike Apt. 574,Riosstad,RI,Liberia,Raw Materials,3.1,2025-06-08
68,"Hendricks, Flynn and Clark",Tiffany Williams,tanyapowers@oneal.com,481.221.2647,52874 West Brook,Port Alexis,WI,United States Virgin Islands,Raw Materials,4.7,2025-12-14
69,Myers Ltd,Michael Reed,qreynolds@romero-kennedy.com,526.369.3672x8716,25473 Mahoney Parkway Apt. 636,Zavalahaven,NV,Palestinian Territory,Import/Export,3.0,2021-03-11
70,Mendez Ltd,Tara Smith,daniel42@daniels-navarro.org,001-712-287-0820,90112 Erin Prairie,Rodriguezfort,PA,Chad,Chemicals,3.6,2024-04-19
71,"Adams, Garrison and Mitchell",Adam Smith,bradleybryan@wolf.info,634.418.7810x5654,02323 Cuevas Mountain,Port Cody,PA,Albania,Manufacturing,3.5,2022-03-15
72,"Valentine, Higgins and Guerrero",Melissa Lowe,bconner@miller.net,+1-512-560-4471,0738 Melissa Drive Suite 841,North Benjaminland,NJ,United States Virgin Islands,Technology,2.3,2024-08-26
73,Browning-Bishop,Angela Hurley,carrjoseph@kelley-erickson.com,8224394060,85019 Carter Port,Hallland,AK,China,Textiles,4.7,2022-09-13
74,Noble-Armstrong,Joseph Barron,tracy67@waters.biz,879.306.8555x29163,3831 Benjamin Passage Apt. 164,Reeveston,PA,New Caledonia,Import/Export,2.3,2022-10-17
75,Williams-Conner,James Knight,kbrown@green.com,+1-776-933-6657x41104,09769 Carney Stream Apt. 015,Valerieburgh,OH,Cyprus,Manufacturing,1.9,2022-11-11
76,Brown-Silva,Ricardo Cooper DDS,robin61@flores.com,827-842-4157,22117 Pollard Loaf,Kaitlinview,WI,Bosnia and Herzegovina,Textiles,1.5,2025-06-20
77,Li LLC,Alison Miller,bgreene@caldwell.com,001-230-573-3286x919,112 Laura Drive Apt. 020,New Tracyfurt,VA,Peru,Agriculture,1.1,2022-05-02
78,Allen-Hall,Francisco King,marilyn18@jones.com,(469)568-9715x2420,824 Samantha Spring,Millsport,WA,Malawi,Distribution,3.6,2021-03-03
79,"Hill, Stanton and Taylor",Lisa Munoz,johnsonanthony@farley.biz,+1-207-266-7853,8177 Thomas Fort,South Valerie,OK,Bangladesh,Manufacturing,1.6,2021-04-03
80,Duke Ltd,Robin Allen,carolinesilva@moore-perkins.com,338-249-8029x2482,96493 Stone Trafficway Apt. 162,Jamesborough,KS,Malaysia,Technology,3.2,2021-07-30
81,Rodriguez-Rogers,Gary Combs,dpace@montgomery-richards.com,9799722775,400 Karen Land Apt. 576,Cainville,DE,Bosnia and Herzegovina,Technology,2.0,2024-12-11
82,Lin and Sons,Kevin Bush,kelly94@hamilton.org,001-808-523-3952x38213,8655 Michelle Cape,Ritterport,MI,Kiribati,Wholesale,2.6,2025-11-10
83,"Marquez, Johnson and Meyer",Jennifer Bray,meghangeorge@simmons.com,681.205.5778x473,9278 Christina Ports Suite 480,Parkertown,PW,Ghana,Chemicals,3.5,2025-10-06
84,Donaldson-Burnett,Paula Perry,deanna09@poole.com,001-750-862-7963x7122,217 David Lock Suite 025,North Carlosburgh,CO,United States of America,Agriculture,3.2,2024-06-18
85,"Martin, Lloyd and Anderson",Beth Nunez,jenniferjackson@bridges-moreno.com,001-224-416-7961x293,3015 Beck Corners Suite 795,Lake Lisashire,GA,Saint Kitts and Nevis,Packaging,2.5,2024-02-15
86,Salazar-Dillon,Samuel Coleman,boyleeugene@english.org,644.596.3515,119 Matthew Streets,Josephland,MI,Bermuda,Import/Export,2.2,2024-08-01
87,Pollard-Gill,Michael Jennings,andrewblankenship@hamilton.com,001-713-488-3442,5841 Brian Manor,Port Darrell,DC,British Virgin Islands,Agriculture,1.6,2021-05-01
88,Long-Gonzalez,Michael Kim,hannaharcher@moore.biz,558.521.6367,1292 Andrew Garden Suite 127,Matthewview,AZ,Netherlands,Textiles,3.7,2021-04-10
89,Obrien PLC,Jeremy Ellis,marybrown@velasquez.com,(838)554-9590x61599,0640 Joshua Cape Suite 990,South Sharon,ID,Egypt,Packaging,3.1,2022-12-03
90,Craig-Ramirez,Wendy Lambert,sandrapalmer@brown.com,9045321095,1268 Ashley Courts Suite 417,East Robert,DE,Central African Republic,Manufacturing,2.4,2021-09-09
91,Craig-Dixon,Kyle Lucas,nicole96@west.com,(589)605-7845,676 Gary Rapids,Brianside,TX,Macao,Technology,4.9,2022-06-29
92,French and Sons,Stephanie Carr,hawkinsrobin@olson-brown.com,394-580-1728,76259 David Crossing Apt. 539,Herreraside,MA,Gambia,Textiles,4.7,2022-06-19
93,Wilson-Hawkins,Michelle Conley,portermiranda@brown.com,+1-882-809-3744,9698 Sullivan Streets,Jackland,PA,Saint Martin,Chemicals,3.8,2025-06-10
94,"Christensen, Bennett and Ho",Ashley Ortiz,michael87@kaiser.info,920.620.5384,63138 Crystal Port Suite 426,Bradport,KS,Brunei Darussalam,Agriculture,4.5,2025-04-25
95,"Zamora, Weaver and Harris",Jennifer Robles,portercarolyn@delgado.info,+1-894-906-8491x3537,9788 Jennifer Road Apt. 594,Brandytown,NY,Guatemala,Agriculture,4.1,2023-05-05
96,"Baker, Sosa and Mcconnell",Brandi Werner,brenda44@white-alvarez.com,7132003815,72010 Cochran Glen,West Bridgetmouth,LA,Western Sahara,Distribution,4.8,2024-02-09
97,Howard LLC,Brandon Perez,qevans@yu.org,+1-828-551-5899x73804,4139 Young Port Apt. 205,East Lauren,WY,Mayotte,Raw Materials,1.6,2022-04-22
98,Hunter Ltd,Lindsay Brewer,annetteallen@martinez.com,001-216-448-9191x546,86398 Warren Lane Suite 755,Jeffreyhaven,ND,Slovakia (Slovak Republic),Packaging,4.5,2025-12-26
99,Williams PLC,Brian Johnson,royrios@diaz.net,001-274-210-3017x5598,0612 Jennifer Parkway Suite 464,Gibbsville,WY,Vanuatu,Technology,2.6,2023-03-30
100,Ellison-Hill,Frederick Martin,hunteramanda@espinoza.com,(465)804-7429,843 Chelsea Landing,Mitchellfurt,OR,Marshall Islands,Distribution,4.6,2024-10-09
101,Green LLC,Samantha Beck,kimberlylarson@sandoval.com,888.491.0362x39796,0981 Liu Forks Apt. 210,New Timothyfurt,MA,Georgia,Manufacturing,2.7,2023-03-31
102,"Bishop, White and Rice",John Suarez,santostara@edwards-martin.com,+1-799-894-6231,798 Martin Highway,Wrightfurt,GA,United Arab Emirates,Textiles,4.8,2021-06-25
103,"Villanueva, Robinson and Trevino",Sara Leach,clarkpriscilla@curtis-hill.biz,791.360.3360,016 Wyatt Gateway,Lake Crystalshire,CA,Zimbabwe,Technology,1.4,2025-01-02
104,Perez Ltd,Anthony Mullins,anne19@meza-collins.com,+1-722-593-2963x054,72731 Ramirez Inlet Apt. 461,Johnsonside,LA,Heard Island and McDonald Islands,Agriculture,4.6,2025-01-10
105,Johnston-Stark,John Lopez,kevin95@bryant-zuniga.net,001-748-404-9649x5406,91916 Bailey Course,New Elizabeth,IN,Bermuda,Distribution,1.6,2021-08-26
106,"Weeks, Wright and Shaw",Luke Davis,karenmiller@wilson-kelley.net,+1-865-338-9966x228,7915 Tucker Estate Apt. 585,New Carlos,IA,Bahamas,Packaging,2.5,2023-06-19
107,"Chandler, Collins and Norman",Gregory Blake,adamrichardson@erickson.biz,+1-937-927-2388x03667,18439 Parrish Via Apt. 800,Sarahhaven,OK,Eritrea,Distribution,4.1,2024-04-29
108,Mccormick-Jennings,Frank Fox,blake30@farmer-yang.com,801.234.7226x9855,3540 Victoria Plaza Suite 549,Lake Morganville,WV,Costa Rica,Agriculture,4.0,2023-10-10
109,Mcneil and Sons,Marie Cox,michaelrosales@fischer-lutz.com,001-536-592-6081x5568,634 Cody Ranch Apt. 629,South Lisa,HI,Switzerland,Packaging,2.4,2023-12-31
110,Garcia Group,Rachel Murphy,moralesjose@patel.com,(987)617-7138x83242,5535 Ryan Plaza Suite 528,Espinozamouth,ID,Nicaragua,Raw Materials,3.7,2021-10-28
111,Quinn PLC,Ashley Simpson,robertwarren@townsend.org,(273)265-7040,5509 Rivas Isle Apt. 899,Hunterborough,VI,Ethiopia,Manufacturing,1.2,2025-03-07
112,Reynolds LLC,Robert Martinez,amy51@douglas.com,(465)489-9439,76582 Richards Cliff,West Clayton,KY,Croatia,Wholesale,1.2,2026-01-28
113,Lozano PLC,David Burns,rodney88@jackson.com,210-817-9767x8074,1559 Victoria Light Apt. 666,Reyesborough,MA,Netherlands,Packaging,1.0,2024-05-15
114,Moss-Stanley,Brandon Rogers,yvonnewheeler@rodriguez.net,938-717-1733x35472,325 Faith Circles Apt. 926,Martinezland,TX,Djibouti,Wholesale,4.2,2023-09-14
115,Coffey-Guzman,Thomas Harris,dparks@keller.net,6205693087,2789 Carter Wells,West Christopher,GU,Guinea-Bissau,Agriculture,5.0,2022-07-23
116,Johnson Ltd,James Turner,louis78@guerrero-garcia.com,391.987.6380,985 Nelson Pike,Christopherport,MP,Moldova,Technology,4.6,2025-05-27
117,Bennett and Sons,Gregory Rogers,fredkaufman@bailey.net,+1-623-352-5817x0640,46874 Valerie Fall,Robertfort,WY,Mongolia,Packaging,2.2,2023-01-01
118,"Peters, Howard and Lopez",Brittany Douglas,thompsonchristopher@hunter-holland.com,873-444-4103,25061 James Vista,Austinport,NJ,Kiribati,Technology,3.2,2021-07-18
119,"Rivera, Hart and Reed",Sabrina Palmer,robin78@brooks.com,846.729.4494x1549,70320 Chaney Street Apt. 596,Changbury,WV,Switzerland,Distribution,2.2,2025-09-11
120,Frost and Sons,Marcus Maldonado,brownrichard@nelson.com,274.768.6460,13282 Duke Village,South Erintown,FM,Nauru,Manufacturing,2.1,2021-10-01
121,"Russell, Wright and Shepard",Cody Guerra,lewistraci@hudson.com,001-747-294-1183,3345 Burns Knolls,West Amanda,NH,Tokelau,Distribution,4.6,2022-04-26
122,"Davis, Mathews and Stokes",Meredith Lopez,bretttrevino@johnson-willis.com,001-557-540-5577x6438,29314 Ryan Wall,Port Elizabethmouth,ME,French Guiana,Import/Export,4.9,2025-04-15
123,Houston LLC,Michael Savage,kristenfoley@smith-lindsey.com,403-587-1825,769 Joshua Locks,Millerchester,KS,Sierra Leone,Manufacturing,2.1,2022-04-09
124,Boyd LLC,Sharon Miller,reillyashley@smith.net,2435250171,2159 Charles Port,Carrollmouth,VA,Cyprus,Textiles,1.7,2025-08-23
125,"Thomas, Bryan and Lopez",Sarah Mcdonald,pvang@weaver.com,3436865168,0902 Jackson Ports,Garyland,VI,Togo,Chemicals,3.6,2023-03-27
126,Rodriguez PLC,Michael Mendoza,alexandercochran@white.com,690.856.9814x5986,83501 Nancy Ridge,New Stephenshire,LA,Liberia,Textiles,3.3,2023-09-29
127,White and Sons,Nathan Gilmore,ievans@chandler.com,+1-690-493-8874x675,407 Gardner Camp,Smithstad,IA,Germany,Textiles,3.1,2026-02-02
128,Smith Ltd,Heather Williams,xallen@garcia-johnson.com,+1-509-602-9677x5754,7178 Rodriguez Stream Suite 790,Sarahland,TX,Central African Republic,Textiles,4.5,2024-02-24
129,"Green, Young and Ingram",Susan Hall,reneemiller@phillips.com,936-844-4600,7868 Thomas Canyon,Harrisland,OR,Uzbekistan,Chemicals,1.6,2025-11-29
130,Lowe-Jackson,Darlene Hernandez,johnsondavid@sullivan-mcdonald.com,+1-737-648-9016x23498,6929 Lamb Hollow,Shaneview,IN,Nicaragua,Technology,4.8,2025-08-06
131,Costa-Robinson,Monica Wilson,lanejeremy@mendoza.com,001-283-370-4299x6378,90506 Brian Brook Suite 284,Munozfurt,PW,United States Minor Outlying Islands,Chemicals,2.4,2024-07-06
132,"Douglas, Phillips and Martinez",Linda Andersen,davidsonalexander@lewis.com,001-431-856-4689x133,4865 Mario Oval Apt. 202,Floresbury,HI,New Zealand,Manufacturing,1.3,2022-03-27
133,Harris Inc,Andrew Mitchell,roliver@hayes.org,(252)245-9161,61576 Bradley Grove Apt. 977,West Kathrynborough,MO,Palau,Packaging,3.2,2022-04-09
134,"Hall, Miles and Taylor",John Davis,jennifersmith@gonzalez.com,(371)670-6962,514 Mary Flat,South Stacey,HI,Oman,Manufacturing,2.5,2021-11-27
135,Nelson-Johnson,Jennifer Jarvis DDS,mrich@gonzalez.com,705.289.5345x44127,16237 Mccormick Pass Apt. 959,Lake Davidberg,IA,Somalia,Import/Export,4.8,2022-07-26
136,Smith-Daniel,Mark Perry,mpotter@hines.org,+1-595-524-3156x83080,012 Christopher Rest Apt. 630,East Robertfort,GU,British Indian Ocean Territory (Chagos Archipelago),Wholesale,4.7,2024-04-24
137,Wagner-Walker,Tracy Harris,christopher11@lewis.info,001-208-854-3895x3126,2202 Danielle Brook Apt. 256,Charlesshire,MT,Moldova,Import/Export,4.4,2023-01-01
138,Bush Group,John Solis,melissamyers@barrett.com,772.654.0102,3421 Bennett Grove Apt. 172,Kelseystad,KS,Tokelau,Textiles,2.3,2022-10-06
139,James Inc,John Anderson,cynthiajohnson@smith-odom.com,(940)746-1471,7185 Rachael Common,Saraburgh,CA,Bahrain,Textiles,4.1,2021-06-19
140,Walker LLC,Janet Hall,jennifer79@bell.com,975.920.5551x807,74427 Mike Trail,West Peter,WY,Jamaica,Raw Materials,2.8,2022-06-01
141,"White, David and Parks",Cindy Martin,donna82@graham.com,001-661-502-7092x85522,8840 Richard Stravenue,Melissachester,PR,Papua New Guinea,Import/Export,1.1,2021-11-03
142,Malone-Patton,Alicia Diaz,harold60@george.com,(894)566-0278x798,48926 Scott Radial Apt. 424,Katiechester,OK,Turkmenistan,Import/Export,2.6,2022-03-29
143,Ford PLC,Tiffany Mcdaniel,gshaffer@myers.com,453.345.7524,0142 Linda River,Markfurt,WY,Mongolia,Manufacturing,2.3,2023-01-27
144,Rios Ltd,Natasha Hughes,vgraham@buchanan.com,571-741-5800x3434,62844 Kelly Drive,Port Ronaldbury,DC,Belize,Textiles,2.2,2022-04-25
145,"Ramsey, Coleman and Green",Jeffrey Ward,ycantu@miles.org,694-204-1575x5776,27015 Parrish Expressway Suite 278,Dianaton,GA,Kyrgyz Republic,Textiles,2.5,2021-10-21
146,Peterson-Martinez,Stacy Brown,bradleybird@evans.com,475-899-8181x70072,698 Alexander Roads,West Marcia,MH,Norfolk Island,Import/Export,3.3,2025-08-20
147,Campos PLC,Kevin Williams,rglover@diaz.com,514-510-5375x263,9524 Christopher Flat,Emilyville,CO,Russian Federation,Import/Export,1.7,2021-10-15
148,Sanchez-Richardson,Joseph Potts,ncarter@moreno.info,802-837-1247,09410 Campos Extensions Apt. 887,Levinehaven,RI,Macao,Import/Export,5.0,2021-03-08
149,"Smith, King and Nash",Jason Gonzalez,isaac34@haas.com,851.977.6458x360,971 Whitaker Land Suite 197,Michaelland,IL,El Salvador,Chemicals,4.5,2022-08-18
150,"Rojas, Hall and Pierce",Todd Patel,ghodges@sanchez.com,(957)899-6025,8201 Carmen Views Suite 385,West Sandrabury,TX,American Samoa,Import/Export,2.6,2025-07-19
151,"Schneider, Smith and Allen",Michael Martin,kevinenglish@soto.com,247-947-6983x92750,729 Bradley Rue,Espinozatown,NY,Nigeria,Distribution,3.1,2024-10-10
152,Palmer-Walls,Alyssa Mendoza,nataliescott@rodriguez-lindsey.com,775-504-1671x28950,77554 Brandi Meadow,Matthewside,FL,Saint Vincent and the Grenadines,Technology,2.1,2022-10-14
153,"Aguirre, Pace and Floyd",Tina Smith,larrylopez@smith.info,(853)883-6354x0818,7090 Ruth Stravenue Apt. 122,Serranoshire,ME,Nigeria,Distribution,3.0,2024-04-02
154,"Ross, Austin and Gonzalez",Madeline Page,gmahoney@nguyen.com,3629208446,4167 Harrison Shoals,Adamsborough,NE,Svalbard & Jan Mayen Islands,Raw Materials,1.9,2024-03-20
